Country,Region
Burundi,Eastern Africa
Comoros,Eastern Africa
Djibouti,Eastern Africa
Eritrea,Eastern Africa
Ethiopia,Eastern Africa
Kenya,Eastern Africa
Madagascar,Eastern Africa
Malawi,Eastern Africa
Mauritius,Eastern Africa
Mayotte,Eastern Africa
Mozambique,Eastern Africa
Reunion,Eastern Africa
Rwanda,Eastern Africa
Seychelles,Eastern Africa
Somalia,Eastern Africa
Tanzania,Eastern Africa
Uganda,Eastern Africa
Zambia,Eastern Africa
Zimbabwe,Eastern Africa
Angola,Middle Africa
Cameroon,Middle Africa
Central African Republic,Middle Africa
Chad,Middle Africa
Congo (Brazzaville),Middle Africa
"Congo, Democratic Republic of the",Middle Africa
Equatorial Guinea,Middle Africa
Gabon,Middle Africa
Sao Tome and Principe,Middle Africa
Algeria,Northern Africa
Egypt,Northern Africa
Libyan Arab Jamahiriya,Northern Africa
Morocco,Northern Africa
South Sudan,Northern Africa
Sudan,Northern Africa
Tunisia,Northern Africa
Western Sahara,Northern Africa
Botswana,Southern Africa
Lesotho,Southern Africa
Namibia,Southern Africa
South Africa,Southern Africa
Swaziland,Southern Africa
Benin,Western Africa
Burkina Faso,Western Africa
Cape Verde,Western Africa
Cote d'Ivoire (Ivory Coast),Western Africa
Gambia,Western Africa
Ghana,Western Africa
Guinea,Western Africa
Guinea-Bissau,Western Africa
Liberia,Western Africa
Mali,Western Africa
Mauritania,Western Africa
Niger,Western Africa
Nigeria,Western Africa
Saint Helena,Western Africa
Senegal,Western Africa
Sierra Leone,Western Africa
Togo,Western Africa
Anguilla,The Caribbean
Antigua and Barbuda,The Caribbean
Aruba,The Caribbean
Bahamas,The Caribbean
Barbados,The Caribbean
"Bonaire, Saint Eustatius and Saba",The Caribbean
British Virgin Islands,The Caribbean
Cayman Islands,The Caribbean
Cuba,The Caribbean
Curaçao,The Caribbean
Dominica,The Caribbean
Dominican Republic,The Caribbean
Grenada,The Caribbean
Guadeloupe,The Caribbean
Haiti,The Caribbean
Jamaica,The Caribbean
Martinique,The Caribbean
Monserrat,The Caribbean
Puerto Rico,The Caribbean
Saint-Barthélemy,The Caribbean
St. Kitts and Nevis,The Caribbean
Saint Lucia,The Caribbean
Saint Martin,The Caribbean
Saint Vincent and the Grenadines,The Caribbean
Sint Maarten,The Caribbean
Trinidad and Tobago,The Caribbean
Turks and Caicos Islands,The Caribbean
Virgin Islands (US),The Caribbean
Belize,Central America
Costa Rica,Central America
El Salvador,Central America
Guatemala,Central America
Honduras,Central America
Mexico,Central America
Nicaragua,Central America
Panama,Central America
Argentina,South America
Bolivia,South America
Brazil,South America
Chile,South America
Colombia,South America
Ecuador,South America
Falkland Islands (Malvinas),South America
French Guiana,South America
Guyana,South America
Paraguay,South America
Peru,South America
Suriname,South America
Uruguay,South America
Venezuela,South America
Bermuda,North America
Canada,North America
Greenland,North America
Saint Pierre and Miquelon,North America
USA,North America
Afghanistan,Asia
Armenia,Asia
Azerbaijan,Asia
Bangladesh,Asia
Bhutan,Asia
Brunei Darussalam,Asia
Cambodia,Asia
China,Asia
Georgia,Asia
Hong Kong,Asia
India,Asia
Indonesia,Asia
Japan,Asia
Kazakhstan,Asia
North Korea,Asia
South Korea,Asia
Kyrgyzstan,Asia
Laos,Asia
Macao,Asia
Malaysia,Asia
Maldives,Asia
Mongolia,Asia
Myanmar (ex-Burma),Asia
Nepal,Asia
Pakistan,Asia
Philippines,Asia
Singapore,Asia
Sri Lanka,Asia
Taiwan,Asia
Tajikistan,Asia
Thailand,Asia
Timor Leste (West),Asia
Turkmenistan,Asia
Uzbekistan,Asia
Vietnam,Asia
Albania,Europe
Andorra,Europe
Belarus,Europe
Bosnia,Europe
Croatia,Europe
European Union,Europe
Faroe Islands,Europe
Gibraltar,Europe
Guerney and Alderney,Europe
Iceland,Europe
Jersey,Europe
Kosovo,Europe
Liechtenstein,Europe
Macedonia,Europe
"Man, Island of",Europe
Moldova,Europe
Monaco,Europe
Montenegro,Europe
Norway,Europe
Russia,Europe
San Marino,Europe
Serbia,Europe
Svalbard and Jan Mayen Islands,Europe
Switzerland,Europe
Turkey,Europe
Ukraine,Europe
Vatican City State (Holy See),Europe
Austria,European Union
Belgium,European Union
Bulgaria,European Union
Cyprus,European Union
Czech Republic,European Union
Denmark,European Union
Estonia,European Union
Finland,European Union
France,European Union
Germany,European Union
Greece,European Union
Hungary,European Union
Ireland,European Union
Italy,European Union
Latvia,European Union
Lithuania,European Union
Luxembourg,European Union
Malta,European Union
Netherlands,European Union
Poland,European Union
Portugal,European Union
Romania,European Union
Slovakia,European Union
Slovenia,European Union
Spain,European Union
Sweden,European Union
UK,European Union
Bahrain,Middle East
Iraq,Middle East
Iran,Middle East
Israel,Middle East
Jordan,Middle East
Kuwait,Middle East
Lebanon,Middle East
Oman,Middle East
Palestine,Middle East
Qatar,Middle East
Saudi Arabia,Middle East
Syria,Middle East
United Arab Emirates,Middle East
Yemen,Middle East
Australia,Oceania
Fiji,Oceania
French Polynesia,Oceania
Guam,Oceania
Kiribati,Oceania
Marshall Islands,Oceania
Micronesia,Oceania
New Caledonia,Oceania
New Zealand,Oceania
Papua New Guinea,Oceania
Samoa,Oceania
"Samoa, American",Oceania
"Solomon, Islands",Oceania
Tonga,Oceania
Vanuatu,Oceania
